@RELATION lol

@ATTRIBUTE match_id STRING
@ATTRIBUTE summoner_id STRING
@ATTRIBUTE champion_id STRING
@ATTRIBUTE tier {UNRANKED,BRONZE,SILVER,GOLD,PLATINUM,DIAMOND,MASTER}
@ATTRIBUTE lane {TOP,JUNGLE,MIDDLE,BOTTOM}
@ATTRIBUTE role {NONE,SOLO,DUO,DUO_CARRY,DUO_SUPPORT}
@ATTRIBUTE kills NUMERIC
@ATTRIBUTE deaths NUMERIC
@ATTRIBUTE assists NUMERIC
@ATTRIBUTE gold_earned NUMERIC
@ATTRIBUTE gold_spent NUMERIC
@ATTRIBUTE dmg NUMERIC
@ATTRIBUTE dmg_champs NUMERIC
@ATTRIBUTE dmg_taken NUMERIC
@ATTRIBUTE dmg_healed NUMERIC
@ATTRIBUTE cc NUMERIC
@ATTRIBUTE wards_placed NUMERIC
@ATTRIBUTE wards_killed NUMERIC
@ATTRIBUTE win {True,False}

@DATA
1864865403,45241933,222,GOLD,BOTTOM,DUO_CARRY,14,5,16,15622,13995,203349,40899,18299,2192,263,1,1,True
1864865403,37482210,102,UNRANKED,TOP,SOLO,9,5,5,13976,13785,188735,26495,32132,2065,125,9,0,True
1864925671,40034506,222,UNRANKED,BOTTOM,DUO_CARRY,2,5,4,6981,6920,70368,8538,12040,893,100,7,2,False
1864925671,45770461,1,SILVER,BOTTOM,DUO_SUPPORT,2,2,2,5042,4660,11493,6959,8598,120,28,21,1,False
1864925671,49681234,11,SILVER,JUNGLE,NONE,3,6,1,6648,6505,88858,6523,17663,3883,176,8,2,False
1864925671,36601496,115,SILVER,MIDDLE,SOLO,0,8,5,5518,4875,51643,9247,11875,252,152,6,0,False
1864925671,52336181,41,UNRANKED,TOP,SOLO,1,5,3,6282,5845,59667,8291,18966,3796,918,3,0,False
1864925671,23615253,254,GOLD,JUNGLE,NONE,6,0,5,8808,6890,86583,6280,12185,206,171,8,3,True
1864925671,42084769,412,UNRANKED,BOTTOM,DUO_SUPPORT,0,6,15,6585,5885,11277,4346,13555,1268,45,16,1,True
1864925671,30853909,106,UNRANKED,TOP,SOLO,5,0,12,9384,9335,81526,15482,15558,1573,661,8,0,True
1864925671,44735494,112,GOLD,MIDDLE,SOLO,11,1,3,11056,9265,101672,14815,6213,537,79,9,0,True
1864925671,21000676,110,SILVER,BOTTOM,DUO_CARRY,4,1,9,8834,7090,88970,12673,7355,1432,163,4,0,True
1865124166,21336137,4,GOLD,MIDDLE,NONE,9,6,12,14272,13235,173612,26973,28721,727,279,24,0,False
1865124166,34964565,51,SILVER,MIDDLE,NONE,4,5,6,10554,9785,127273,9672,18757,2124,28,1,1,False
1865124166,45770461,37,SILVER,BOTTOM,SOLO,6,5,9,10582,9405,45874,15506,19152,14657,33,29,4,False
1865124166,39360093,105,GOLD,TOP,SOLO,10,8,7,13139,12930,134387,18812,25740,655,319,13,2,False
1865124166,66379403,113,UNRANKED,MIDDLE,NONE,0,6,10,7752,7200,58483,8060,23160,1494,508,11,2,False
1865124166,39510935,110,SILVER,MIDDLE,SOLO,4,6,8,15153,13902,251399,27023,20122,2184,113,6,1,True
1865124166,19899906,102,SILVER,TOP,SOLO,6,5,11,15170,14565,184559,17313,29952,4784,414,10,1,True
1865124166,34796424,11,UNRANKED,JUNGLE,NONE,11,4,7,19855,17455,385522,29544,36334,7913,584,13,4,True
1865124166,50717051,222,SILVER,BOTTOM,DUO_CARRY,8,6,3,14309,13145,166468,12988,18155,3300,52,19,0,True
1865124166,51012219,111,UNRANKED,BOTTOM,DUO_SUPPORT,1,8,12,9435,7845,44983,10292,26063,4765,254,11,1,True
1865177817,28330315,91,GOLD,MIDDLE,SOLO,2,6,1,5653,5180,53674,8850,12762,94,438,3,2,False
1865177817,36734846,32,GOLD,JUNGLE,NONE,1,4,1,5649,5560,72945,5870,16082,976,297,3,1,False
1865177817,27902753,51,GOLD,BOTTOM,DUO_CARRY,0,0,2,5934,4880,73273,7325,6022,481,12,5,1,False
1865177817,19530162,412,SILVER,BOTTOM,DUO_SUPPORT,2,4,0,4246,4080,7509,2209,10028,919,51,10,0,False
1865177817,22547215,85,SILVER,TOP,SOLO,2,3,2,6033,5295,52815,9593,10098,0,34,5,0,False
1865177817,48634972,222,SILVER,BOTTOM,DUO_CARRY,3,0,3,7429,5730,82378,6979,5672,808,49,8,1,True
1865177817,45770461,2,SILVER,TOP,SOLO,1,0,3,6557,5170,75407,5918,9704,2151,411,7,0,True
1865177817,58263275,105,GOLD,MIDDLE,SOLO,10,2,3,8686,6825,60788,13784,12080,662,309,7,0,True
1865177817,51849797,143,SILVER,BOTTOM,DUO_SUPPORT,0,3,6,5415,5205,24834,7377,6327,40,110,14,3,True
1865177817,24678783,421,GOLD,JUNGLE,NONE,3,2,8,7026,5580,63240,5996,16521,4802,263,10,2,True
1866079777,35450951,154,GOLD,JUNGLE,NONE,5,4,17,12326,10890,125313,16408,36275,27995,1142,3,2,True
1866079777,44146174,22,SILVER,BOTTOM,DUO_CARRY,18,8,7,18965,16595,272815,30202,22335,3727,2344,5,0,True
1866079777,51023360,105,SILVER,TOP,SOLO,8,4,9,13369,12088,147890,24930,28966,2360,679,10,2,True
1866079777,41974222,61,SILVER,MIDDLE,SOLO,7,4,15,16272,15360,214582,37078,16381,899,1531,6,1,True
1866079777,49220308,412,SILVER,BOTTOM,DUO_SUPPORT,0,0,20,11100,9865,44119,9613,15606,2776,192,33,7,True
1866079777,19938293,98,UNRANKED,JUNGLE,NONE,4,9,5,11807,11673,166798,18976,48149,3842,373,7,4,False
1866079777,45770461,1,SILVER,BOTTOM,DUO_SUPPORT,3,6,9,10369,9870,41752,16700,21414,160,114,35,2,False
1866079777,43992475,268,BRONZE,MIDDLE,SOLO,2,5,4,11881,10355,183975,17170,20651,1145,271,9,1,False
1866079777,25816200,62,UNRANKED,TOP,SOLO,4,7,3,11083,10380,128488,11799,32968,1175,26,9,0,False
1866079777,26277246,133,PLATINUM,BOTTOM,DUO_CARRY,7,11,6,12640,12545,150622,18645,28795,3790,232,4,2,False
1866085727,31220356,114,SILVER,TOP,SOLO,2,12,6,11188,10575,149759,19219,33899,702,17,6,0,False
1866085727,56420284,99,SILVER,MIDDLE,SOLO,8,3,7,10275,8620,102550,20948,10031,748,182,6,1,False
1866085727,29636083,25,SILVER,BOTTOM,DUO_SUPPORT,1,10,8,9363,8600,44349,11494,24911,0,132,25,7,False
1866085727,39649561,59,GOLD,JUNGLE,NONE,4,11,12,10241,9420,97629,14293,35771,3444,574,9,2,False
1866085727,29280154,81,SILVER,BOTTOM,DUO_CARRY,8,9,6,11210,9873,111790,23846,26619,1653,76,5,2,False
1866085727,37122621,27,SILVER,TOP,SOLO,7,2,16,15331,13175,215378,25230,31791,4553,402,11,0,True
1866085727,48673044,1,SILVER,MIDDLE,SOLO,7,6,5,12016,11820,127164,20994,23375,1051,94,1,0,True
1866085727,24402143,222,SILVER,BOTTOM,DUO_CARRY,10,6,8,13322,12931,180644,31644,27364,3759,70,5,0,True
1866085727,45770461,2,SILVER,JUNGLE,NONE,19,3,10,16384,15130,197874,28462,34412,5574,869,21,1,True
1866085727,47086811,40,SILVER,BOTTOM,DUO_SUPPORT,1,7,14,9887,9945,13376,4978,18950,3881,151,29,7,True
1866223347,56018508,59,SILVER,JUNGLE,NONE,23,8,21,22793,16360,339086,41905,45601,4161,2071,20,5,True
1866223347,36533401,67,SILVER,BOTTOM,DUO_CARRY,16,11,9,20929,18910,378800,38133,39195,4542,286,14,2,True
1866223347,60146611,1,UNRANKED,MIDDLE,SOLO,16,12,11,19222,17180,269953,48113,36912,3220,240,6,0,True
1866223347,43633689,98,GOLD,TOP,SOLO,12,7,39,19790,18585,170259,43416,57975,5704,286,24,3,True
