310172,226563,35,33
0,197,11,56
2083,1733,68,63
1407,906,72,58
1931,7379,44,64
235,295,68,78
5983,154935,24,44
43417,91,30,6
352425,795136,20,24
51,33046,6,31
983,70,67,31
3365,47,57,21
175251,93155,43,38
8833,2206,63,43
16,230,29,71
190622,1865,33,12
3346,5907,53,65
27818,90026,39,50
764893,47139,15,5
552,951,56,74
3,407,19,62
600,274,76,53
5881,10274,52,62
12421,13301,56,57
60150,354385,28,39
243532,336982,32,34
1193131,380193,18,13
497,432,75,68
71,544,38,72
788265,1723933,8,11
6197,1918,65,46
2711,80,61,26
54205,2494,51,28
240590,4482,37,17
142660,906,27,7
1640,2302,60,69
511,28561,23,51
113,73,84,67
135310,154513,40,41
13653,8479,60,52
41,7679,16,50
1072,9890,36,61
1501104,294496,12,6
2716,1280,69,51
917,367,73,48
7821,32,49,15
16,98,35,76
2173,14,55,17
85,155,59,82
41230,386930,25,38
55,65,82,81
613957,167379,31,24
876003,467071,21,18
21,18273,7,35
55,130,48,80
310,72521,11,36
43,65,72,86
167,157,78,76
184995,66780,44,36
61141,56603,48,47
245818,3485,34,14
371078,6470,24,8
14,993,20,60
456,332,77,61
27508,25596,53,52
24233,13989,57,49
676,4381,39,65
240,328,63,79
28532,231332,29,43
101873,280125,33,40
1915902,1112949,9,7
99211,876479,15,25
2802,110,62,28
1588,1706,66,67
7399,54,52,18
379934,7250,28,11
0,175,4,44
15,9508,8,39
263287,84267,41,33
4676,5002,61,62
11,1578,17,56
10850,57411,37,53
1211739,952614,13,12
129743,1067432,3,10
16905,143,50,19
47,73,70,86
1212,0,40,5
158951,20260,46,31
30462,590591,16,30
709,609,73,67
112999,629,22,4
58,21576,12,42
116,5,69,23
703,184,73,44
74206,82196,45,46
83165,45744,49,43
10869,11,25,2
121,52,82,53
97,8515,21,54
371,195,78,57
1798477,1798477,7,7
48765,10086,54,38
24512,9185,58,45
2011,4,44,8
433669,17769,34,18
94,113,77,80
6294,360430,10,27
966,1126,67,70
1,279,0,29
215,5,63,18
113,0,53,8
292,488,57,77
605237,29215,29,15
6527,61082,33,52
961384,80666,19,9
1,2320,5,38
110,44709,9,35
5184,2520,66,52
824,1768,52,71
3212,13390,42,61
8145,6001,62,56
49,13675,14,46
354,396,71,75
1166315,277183,4,0
309,9,65,22
78682,22342,51,39
290380,45621,41,29
2662,3226,61,66
38233,387,47,19
6365,286259,17,36
120552,204248,37,41
675285,29342,23,10
15,5305,13,48
671,61,70,35
608,195,74,46
103,1,60,13
813,1067,64,72
20023,28718,50,55
123,3753,26,60
134,98,83,69
7922,20196,46,59
1,301,2,37
92059,618082,22,32
187,78,79,49
41641,10322,55,40
20633,7395,59,45
51654,491,45,18
70,983,31,67
3003,1,35,4
233426,588328,25,30
2257,219161,11,31
214,15,72,31
466087,1791324,1,5
68707,1796,48,24
34689,233144,30,43
4733,43052,34,54
292649,4582,20,5
15,739,24,64
0,182,6,48
1522,127,67,34
3709,13742,43,61
7962,4942,63,54
15280,24,39,9
173,167,80,70
154,518,43,74
736253,96912,29,19
11004,405572,15,32
9952,310213,19,37
226,73035,5,26
1546,2000,62,69
359,16,66,24
20373,980,56,30
86020,837,42,17
41545,98,32,7
4768,232070,18,38
67174,154913,38,45
154798,1188565,8,16
2306,2306,65,65
1459551,544750,14,10
1453,496,71,47
274,58,75,40
612,1889,47,70
252,7929,27,58
18790,34884,47,55
7734,27,17,0
2394,94096,23,46
4865,613,64,37
562,1357,50,72
679,555,74,66
23,119,40,78
419,4,60,17
60,92,64,84
457939,81519,36,26
845621,99299,26,16
96522,867603,2,9
341,5,55,12
770,1142,59,73
96053,326681,31,39
340574,211905,35,32
