133,74,453,582
119,113,1366,1515
412,23,6309,7243
89,134,1912,1399
113,56,608,571
32,34,861,761
18,13,1287,1283
4,72,433,461
223,68,360,444
28,86,809,868
421,33,612,615
61,26,249,226
8,154,1167,1025
122,24,1992,1871
17,92,2153,2274
236,96,1380,1656
222,23,6820,6826
41,86,794,841
245,222,4397,5413
27,7,783,627
50,412,4400,3634
74,22,2424,2117
60,69,336,289
23,51,4463,3993
121,81,2305,2355
84,67,2589,2815
107,98,1724,1779
40,41,1860,1577
117,5,1658,1792
50,254,1987,1722
268,9,595,773
201,122,2269,2100
36,61,544,531
22,120,3216,2932
150,45,928,1066
83,122,495,489
429,26,409,361
69,51,2166,2325
79,238,2102,2343
102,133,768,712
126,15,1782,2151
254,64,9836,8252
35,76,2272,2034
21,161,668,668
59,82,743,745
96,110,505,489
82,81,1299,1087
45,91,627,831
31,24,3222,2983
106,91,1246,1197
92,26,568,453
79,268,1231,1206
48,80,740,753
11,36,933,858
72,86,546,530
58,9,852,962
44,36,229,189
105,18,5066,4605
54,245,1892,1727
24,8,2132,2157
10,103,1903,1949
101,38,818,799
20,60,421,390
43,245,670,530
157,101,1694,1798
114,2,660,536
63,79,1031,843
33,40,910,1142
80,13,1016,904
133,29,304,258
104,131,4699,4898
15,25,10519,9297
143,84,358,292
113,75,2276,2209
76,89,6599,7970
203,201,148,148
62,28,1356,1099
86,134,569,504
18,222,12589,15185
19,203,83,86
223,43,250,331
28,11,1179,1220
89,19,5983,6207
14,82,574,471
75,96,1084,1044
203,55,36,50
99,102,2704,2566
8,39,3573,3724
236,53,7092,8932
222,96,3337,3111
41,33,305,317
27,114,453,429
51,120,4310,4628
37,53,5609,6389
112,122,1417,1378
98,37,1440,1607
17,201,1746,1894
3,10,195,208
117,104,3779,4020
245,35,901,1026
50,19,1117,1126
127,3,222,248
74,157,2309,2060
121,222,3787,4849
69,134,325,299
16,30,605,527
26,75,387,468
64,266,1117,1292
12,42,1888,1954
103,107,4560,3699
59,1,5196,5794
120,17,1293,1291
31,111,4431,4709
106,44,724,773
92,79,3046,2584
55,117,1966,1820
25,2,2220,2057
102,48,903,1016
267,77,1875,1842
432,12,1330,1336
21,54,1719,1745
44,121,397,301
68,119,1139,1183
54,38,1193,851
101,201,1421,1400
266,30,188,142
34,18,1246,993
111,32,3681,4027
81,21,2197,2643
134,25,1360,1807
6,84,121,122
91,92,2247,2155
77,33,734,693
63,18,2351,1860
33,91,429,454
161,14,909,1010
110,91,676,746
238,12,2963,2766
57,77,1813,2010
80,90,1620,1972
43,110,545,523
104,80,6419,6512
29,15,1154,1488
90,15,3107,3054
143,59,1095,950
76,238,4064,4073
9,35,915,872
86,51,4507,4291
56,2,407,372
20,421,1731,1608
42,61,1597,1500
223,254,841,1083
119,57,1693,1571
89,254,9582,9143
38,1,1916,2317
99,53,6156,6901
85,106,973,912
32,106,3232,2811
18,85,1375,1616
27,161,277,268
51,39,5864,6469
112,23,1448,1612
75,157,4785,4349
98,86,1435,1551
122,80,2312,2272
17,36,602,535
131,44,710,724
245,150,1589,1690
13,48,242,286
127,86,981,980
112,245,1629,1539
60,13,416,320
121,9,627,721
107,42,2023,2046
26,60,136,159
154,105,961,1072
103,62,4724,4715
50,134,382,264
12,127,1153,1221
201,50,1171,1310
36,117,516,543
37,412,9928,8490
22,32,3854,3922
83,50,140,157
429,98,1895,1852
69,11,982,1051
55,40,4654,5067
102,77,2651,2742
267,24,1604,1591
432,89,2143,2609
35,4,1101,1170
96,22,1340,1414
82,25,1716,1599
1,5,5669,5637
115,99,1260,1217
78,21,217,243
25,143,1885,2050
48,24,898,818
72,110,360,297
6,161,160,177
134,106,506,691
157,267,2331,2357
30,43,222,229
91,11,1589,1405
24,64,4154,3819
63,161,693,665
10,63,689,797
101,126,642,571
43,61,671,650
104,61,4571,4176
157,45,1502,1519
29,98,573,540
90,112,1426,1244
143,238,1056,989
76,131,2857,3224
39,9,1708,1681
114,74,850,926
19,37,2577,2618
5,26,437,337
133,85,311,368
412,12,11177,10913
15,81,7916,6223
113,19,1668,1582
85,157,1614,1327
32,7,3475,2589
18,38,1471,1405
4,85,748,785
223,99,971,1330
28,115,472,489
89,75,7880,7867
14,10,761,707
75,40,4787,4877
421,12,2532,2285
122,5,2470,2836
17,119,1387,1533
222,56,3231,2891
41,121,593,542
27,58,350,320
84,40,1253,1527
107,121,1797,1765
40,78,695,573
117,32,1517,1839
245,27,372,430
64,84,1781,1797
13,421,772,979
268,102,1336,1529
36,26,97,101
150,6,390,395
121,150,1366,1392
429,53,5563,6338
16,102,1498,1377
2,9,432,464
79,21,867,967
126,16,706,811
254,37,4001,3936
35,83,236,262
96,67,2493,2545
82,106,739,763
31,39,3337,3528
92,55,4245,4178
77,421,2407,2233
11,59,2888,2950
72,59,712,641
58,114,1175,1228
21,110,1069,999
96,161,387,420
7,79,1960,2040
105,53,6535,7457
68,79,1162,1078
54,238,4178,3590
24,45,997,926
101,1,3024,3177
10,64,2256,1760
34,90,475,573
20,25,3144,2924
6,28,163,174
67,30,1502,1540
39,92,5231,5013
114,31,1716,1662
115,266,308,300
24,203,94,86
63,42,1103,933
33,3,79,118
161,54,1247,1262
110,19,1346,1549
57,133,525,541
80,34,763,837
133,56,310,340
15,4,3519,3098
143,115,332,309
76,54,3173,3517
56,58,691,674
223,54,841,1125
42,245,1045,952
28,32,939,1097
14,119,1754,1589
89,54,7011,6989
203,10,26,29
99,77,3155,3403
8,12,3053,2876
85,34,319,356
26,432,156,143
27,105,837,811
50,266,336,369
13,150,934,1132
51,31,6234,6463
37,16,1940,2021
98,30,322,405
17,236,2435,2261
3,17,335,279
64,1,7849,10067
245,78,205,263
13,120,734,866
127,110,570,654
74,102,1295,1101
60,53,2275,2618
69,161,524,589
16,51,3658,3349
2,122,778,879
25,267,4305,4465
79,120,1690,1918
154,161,311,381
12,7,2399,2511
35,254,2677,2678
150,157,3741,4105
106,201,2584,2518
55,16,1461,1529
25,37,5788,6619
102,21,1602,1515
267,32,1779,2024
96,222,3111,3337
21,17,1425,1321
44,150,762,644
7,34,751,1023
68,28,668,642
54,91,1559,1542
1,77,5174,5011
115,91,463,589
78,77,390,436
48,32,840,933
34,15,1364,1348
111,15,5853,6208
20,78,202,159
81,40,7112,8954
134,50,264,382
6,105,379,462
30,99,700,686
91,115,589,463
77,60,1340,1387
238,113,2161,2598
57,48,577,579
80,127,2159,1999
43,5,1008,1176
104,117,4020,3779
157,21,2408,2607
29,42,535,606
90,40,2590,2590
143,38,382,309
76,203,53,53
9,6,214,172
86,20,935,993
56,103,1368,1620
223,133,277,362
80,157,3734,3456
5,82,1041,925
119,84,903,737
203,89,192,204
38,26,127,133
8,89,6330,6597
62,236,4676,3671
99,24,3061,2833
32,79,2533,2077
18,110,2008,2080
4,45,704,668
122,61,1358,1227
17,63,953,1151
236,69,1754,1962
131,51,5689,4954
64,254,8252,9836
13,11,953,1121
74,11,1903,1577
37,133,985,834
60,106,927,986
23,86,1974,1831
